AIRLINE,Available seat kilometers flown every week,"Total number of incidents, 1985–1999","Total number of fatal accidents, 1985–1999","Total number of fatalities, 1985–1999","Total number of incidents, 2000–2014","Total number of fatal accidents, 2000–2014","Total number of fatalities, 2000–2014","Total number of incidents, 1985-2014"
Aer Lingus,320906734,2,0,0,0,0,0,2
Aeroflot*,1197672318,76,14,128,6,1,88,225
Aerolineas Argentinas,385803648,6,0,0,1,0,0,7
Aeromexico*,596871813,3,1,64,5,0,0,73
Air Canada,1865253802,2,0,0,2,0,0,4
Air France,3004002661,14,4,79,6,2,337,105
Air India*,869253552,2,1,329,4,1,158,337
Air New Zealand*,710174817,3,0,0,5,1,7,9
Alaska Airlines*,965346773,5,0,0,5,1,88,11
Alitalia,698012498,7,2,50,4,0,0,63
All Nippon Airways,1841234177,3,1,1,7,0,0,12
American*,5228357340,21,5,101,17,3,416,147
Austrian Airlines,358239823,1,0,0,1,0,0,2
Avianca,396922563,5,3,323,0,0,0,331
British Airways*,3179760952,4,0,0,6,0,0,10
Cathay Pacific*,2582459303,0,0,0,2,0,0,2
China Airlines,813216487,12,6,535,2,1,225,556
Condor,417982610,2,1,16,0,0,0,19
COPA,550491507,3,1,47,0,0,0,51
Delta / Northwest*,6525658894,24,12,407,24,2,51,469
Egyptair,557699891,8,3,282,4,1,14,298
El Al,335448023,1,1,4,1,0,0,7
Ethiopian Airlines,488560643,25,5,167,5,2,92,204
Finnair,506464950,1,0,0,0,0,0,1
Garuda Indonesia,613356665,10,3,260,4,2,22,279
Gulf Air,301379762,1,0,0,3,1,143,5
Hawaiian Airlines,493877795,0,0,0,1,0,0,1
Iberia,1173203126,4,1,148,5,0,0,158
Japan Airlines,1574217531,3,1,520,0,0,0,524
Kenya Airways,277414794,2,0,0,2,2,283,6
KLM*,1874561773,7,1,3,1,0,0,12
Korean Air,1734522605,12,5,425,1,0,0,443
LAN Airlines,1001965891,3,2,21,0,0,0,26
Lufthansa*,3426529504,6,1,2,3,0,0,12
Malaysia Airlines,1039171244,3,1,34,3,2,537,43
Pakistan International,348563137,8,3,234,10,2,46,257
Philippine Airlines,413007158,7,4,74,2,1,1,88
Qantas*,1917428984,1,0,0,5,0,0,6
Royal Air Maroc,295705339,5,3,51,3,0,0,62
SAS*,682971852,5,0,0,6,1,110,12
Saudi Arabian,859673901,7,2,313,11,0,0,333
Singapore Airlines,2376857805,2,2,6,2,1,83,13
South African,651502442,2,1,159,1,0,0,163
Southwest Airlines,3276525770,1,0,0,8,0,0,9
Sri Lankan / AirLanka,325582976,2,1,14,4,0,0,21
SWISS*,792601299,2,1,229,3,0,0,235
TACA,259373346,3,1,3,1,1,3,9
TAM,1509195646,8,3,98,7,2,188,118
TAP - Air Portugal,619130754,0,0,0,0,0,0,0
Thai Airways,1702802250,8,4,308,2,1,1,323
Turkish Airlines,1946098294,8,3,64,8,2,84,85
United / Continental*,7139291291,19,8,319,14,2,109,362
US Airways / America West*,2455687887,16,7,224,11,2,23,260
Vietnam Airlines,625084918,7,3,171,1,0,0,182
Virgin Atlantic,1005248585,1,0,0,0,0,0,1
Xiamen Airlines,430462962,9,1,82,2,0,0,94
,,,,,,,,
,,,,,,,,
Average of Available seat kilometers flown every week,1384621304.73214,,,,,,,
